gene	gene_id	transcript	canonical	mane_select	lof_hc_lc.obs	lof_hc_lc.exp	lof_hc_lc.possible	lof_hc_lc.oe	lof_hc_lc.mu	lof_hc_lc.pLI	lof_hc_lc.pNull	lof_hc_lc.pRec	lof.obs	lof.exp	lof.possible	lof.oe	lof.mu	lof.pLI	lof.pNull	lof.pRec	lof.oe_ci.lower	lof.oe_ci.upper	lof.oe_ci.upper_rank	lof.oe_ci.upper_bin_decile	lof.z_raw	lof.z_score	mis.obs	mis.exp	mis.possible	mis.oe	mis.mu	mis.oe_ci.lower	mis.oe_ci.upper	mis.z_raw	mis.z_score	mis_pphen.obs	mis_pphen.exp	mis_pphen.possible	mis_pphen.oe	syn.obs	syn.exp	syn.possible	syn.oe	syn.mu	syn.oe_ci.lower	syn.oe_ci.upper	syn.z_raw	syn.z_score	constraint_flags	level	transcript_type	chromosome	cds_length	num_coding_exons
CHN1	ENSG00000128656	ENST00000652434	false	false	13	1.4703e+01	89	8.8416e-01	1.8115e-07	6.5083e-05	2.5364e-01	7.4630e-01	10	1.3670e+01	85	7.3155e-01	1.6200e-07	1.8683e-03	1.3360e-01	8.6453e-01	4.5000e-01	1.2400e+00	NA	NA	9.9252e-01	8.4094e-01	174	1.9233e+02	984	9.0470e-01	2.9554e-06	7.9900e-01	1.0260e+00	1.3216e+00	4.8263e-01	58	7.0875e+01	353	8.1834e-01	67	6.8438e+01	274	9.7899e-01	1.0664e-06	8.0300e-01	1.2000e+00	1.7381e-01	9.4732e-02	[]	2	protein_coding	chr2	612	5
CHN1	ENSG00000128656	ENST00000652674	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	5.9218e+01	299	9.2877e-01	9.9000e-07	7.4700e-01	1.1630e+00	5.4815e-01	2.0018e-01	10	2.5706e+01	133	3.8901e-01	19	2.2045e+01	85	8.6189e-01	5.0590e-07	6.0000e-01	1.2650e+00	6.4844e-01	3.5343e-01	["no_exp_lof"]	2	nonsense_mediated_decay	chr2	183	2
CHN1	ENSG00000128656	ENST00000652756	false	false	10	1.3670e+01	85	7.3155e-01	1.6200e-07	1.7744e-03	1.3922e-01	8.5901e-01	10	1.3670e+01	85	7.3155e-01	1.6200e-07	1.8683e-03	1.3360e-01	8.6453e-01	4.5000e-01	1.2400e+00	NA	NA	9.9252e-01	8.4094e-01	172	1.8942e+02	973	9.0805e-01	3.0058e-06	8.0100e-01	1.0300e+00	1.2655e+00	4.6214e-01	43	6.4703e+01	324	6.6458e-01	67	6.7776e+01	271	9.8855e-01	1.0544e-06	8.1100e-01	1.2110e+00	9.4289e-02	5.1391e-02	[]	2	protein_coding	chr2	497	4
CIB2	10518	NM_001271888.2	false	false	12	1.6559e+01	81	7.2467e-01	3.7469e-07	6.5891e-04	1.2198e-01	8.7736e-01	11	1.4722e+01	72	7.4718e-01	3.4192e-07	9.2221e-04	1.3827e-01	8.6081e-01	4.6900e-01	1.2360e+00	NA	NA	9.7006e-01	8.2191e-01	167	1.9925e+02	968	8.3813e-01	3.8885e-06	7.3800e-01	9.5300e-01	2.2849e+00	8.3442e-01	45	6.0147e+01	314	7.4816e-01	72	7.4932e+01	258	9.6087e-01	1.7798e-06	7.9400e-01	1.1690e+00	3.3870e-01	1.8461e-01	[]	NA	NA	NA	NA	NA
CIB2	10518	NM_001271889.2	false	false	11	1.4068e+01	68	7.8193e-01	3.2383e-07	6.1315e-04	1.6946e-01	8.2992e-01	11	1.4068e+01	68	7.8193e-01	3.2383e-07	6.4656e-04	1.6286e-01	8.3649e-01	4.9100e-01	1.2940e+00	NA	NA	8.1793e-01	6.9302e-01	159	1.7805e+02	894	8.9299e-01	3.2297e-06	7.8400e-01	1.0190e+00	1.4279e+00	5.2146e-01	54	6.2294e+01	334	8.6685e-01	71	7.0008e+01	239	1.0142e+00	1.5481e-06	8.3700e-01	1.2360e+00	-1.1850e-01	-6.4588e-02	[]	NA	NA	NA	NA	NA
CIB2	10518	NM_001301224.2	false	false	14	1.6890e+01	86	8.2890e-01	3.7138e-07	6.0756e-05	2.0197e-01	7.9797e-01	14	1.6890e+01	86	8.2890e-01	3.7138e-07	6.4166e-05	1.9440e-01	8.0553e-01	5.4600e-01	1.2960e+00	NA	NA	7.0318e-01	5.9579e-01	192	2.1864e+02	1113	8.7814e-01	3.8663e-06	7.8000e-01	9.9000e-01	1.8019e+00	6.5805e-01	64	9.3814e+01	483	6.8220e-01	87	8.6113e+01	295	1.0103e+00	1.8296e-06	8.4900e-01	1.2070e+00	-9.5608e-02	-5.2110e-02	[]	NA	NA	NA	NA	NA
CIB2	10518	NM_006383.4	true	true	19	2.1890e+01	105	8.6799e-01	5.4745e-07	1.5014e-06	2.4914e-01	7.5086e-01	19	2.1890e+01	105	8.6799e-01	5.4745e-07	1.5892e-06	2.4034e-01	7.5966e-01	6.0500e-01	1.2740e+00	NA	NA	6.1763e-01	5.2331e-01	220	2.4773e+02	1225	8.8806e-01	4.5581e-06	7.9500e-01	9.9300e-01	1.7619e+00	6.4344e-01	61	7.9373e+01	418	7.6852e-01	94	9.5343e+01	322	9.8591e-01	2.1035e-06	8.3300e-01	1.1700e+00	1.3755e-01	7.4969e-02	[]	NA	NA	NA	NA	NA
CIB2	10518	XM_005254126.3	false	false	23	2.1653e+01	105	1.0622e+00	5.5028e-07	5.4017e-09	5.8875e-01	4.1125e-01	15	1.4246e+01	69	1.0529e+00	3.3092e-07	3.5808e-06	4.2650e-01	5.7350e-01	7.0300e-01	1.6080e+00	NA	NA	-1.9975e-01	-1.6924e-01	249	2.8009e+02	1362	8.8900e-01	2.9813e-06	8.0100e-01	9.8700e-01	1.8578e+00	6.7845e-01	NA	NA	NA	NA	96	1.0859e+02	377	8.8408e-01	2.1528e-06	7.4900e-01	1.0480e+00	1.2079e+00	6.5836e-01	[]	NA	NA	NA	NA	NA
CIB2	10518	XM_006720374.2	false	false	14	1.8933e+01	93	7.3943e-01	4.0425e-07	1.8534e-04	1.2185e-01	8.7796e-01	11	1.4722e+01	72	7.4718e-01	3.4192e-07	9.2221e-04	1.3827e-01	8.6081e-01	4.6900e-01	1.2360e+00	NA	NA	9.7006e-01	8.2191e-01	167	1.9925e+02	968	8.3813e-01	3.8885e-06	7.3800e-01	9.5300e-01	2.2849e+00	8.3442e-01	45	6.0147e+01	314	7.4816e-01	72	7.4932e+01	258	9.6087e-01	1.7798e-06	7.9400e-01	1.1690e+00	3.3870e-01	1.8461e-01	[]	NA	NA	NA	NA	NA
CIB2	10518	XM_011521161.2	false	false	16	1.6778e+01	84	9.5363e-01	3.8513e-07	4.0598e-06	3.4416e-01	6.5584e-01	7	7.0784e+00	36	9.8892e-01	1.2539e-07	2.3157e-03	2.7345e-01	7.2423e-01	5.5800e-01	1.7360e+00	NA	NA	2.9485e-02	2.4982e-02	196	2.3161e+02	1105	8.4624e-01	4.1947e-06	7.5200e-01	9.5300e-01	2.3400e+00	8.5455e-01	51	7.0818e+01	368	7.2016e-01	74	8.8176e+01	313	8.3923e-01	1.8292e-06	6.9500e-01	1.0180e+00	1.5096e+00	8.2282e-01	[]	NA	NA	NA	NA	NA
CIB2	ENSG00000136425	ENST00000258930	true	true	19	2.1890e+01	105	8.6799e-01	5.4745e-07	1.5014e-06	2.4914e-01	7.5086e-01	19	2.1890e+01	105	8.6799e-01	5.4745e-07	1.5892e-06	2.4034e-01	7.5966e-01	6.0500e-01	1.2740e+00	13440	7	6.1763e-01	5.2331e-01	220	2.4773e+02	1225	8.8806e-01	4.5581e-06	7.9500e-01	9.9300e-01	1.7619e+00	6.4344e-01	61	7.9373e+01	418	7.6852e-01	94	9.5343e+01	322	9.8591e-01	2.1035e-06	8.3300e-01	1.1700e+00	1.3755e-01	7.4969e-02	[]	2	protein_coding	chr15	561	6
CIB2	ENSG00000136425	ENST00000539011	false	false	12	1.6559e+01	81	7.2467e-01	3.7469e-07	6.5891e-04	1.2198e-01	8.7736e-01	11	1.4722e+01	72	7.4718e-01	3.4192e-07	9.2221e-04	1.3827e-01	8.6081e-01	4.6900e-01	1.2360e+00	NA	NA	9.7006e-01	8.2191e-01	167	1.9925e+02	968	8.3813e-01	3.8885e-06	7.3800e-01	9.5300e-01	2.2849e+00	8.3442e-01	45	6.0147e+01	314	7.4816e-01	72	7.4932e+01	258	9.6087e-01	1.7798e-06	7.9400e-01	1.1690e+00	3.3870e-01	1.8461e-01	[]	2	protein_coding	chr15	432	4
CIB2	ENSG00000136425	ENST00000557818	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	5.1020e+01	226	9.2121e-01	1.0447e-06	7.2800e-01	1.1750e+00	5.6276e-01	2.0552e-01	8	1.7450e+01	73	4.5846e-01	17	1.8650e+01	64	9.1154e-01	4.0720e-07	6.2300e-01	1.3670e+00	3.8202e-01	2.0822e-01	["no_exp_lof"]	2	nonsense_mediated_decay	chr15	144	2
CIB2	ENSG00000136425	ENST00000557846	false	false	11	1.4068e+01	68	7.8193e-01	3.2383e-07	6.1315e-04	1.6946e-01	8.2992e-01	11	1.4068e+01	68	7.8193e-01	3.2383e-07	6.4656e-04	1.6286e-01	8.3649e-01	4.9100e-01	1.2940e+00	NA	NA	8.1793e-01	6.9302e-01	159	1.7805e+02	894	8.9299e-01	3.2297e-06	7.8400e-01	1.0190e+00	1.4279e+00	5.2146e-01	54	6.2294e+01	334	8.6685e-01	71	7.0008e+01	239	1.0142e+00	1.5481e-06	8.3700e-01	1.2360e+00	-1.1850e-01	-6.4588e-02	[]	2	protein_coding	chr15	414	4
CIB2	ENSG00000136425	ENST00000557917	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	118	1.1176e+02	551	1.0559e+00	1.8059e-06	9.0900e-01	1.2300e+00	-5.9057e-01	-2.1567e-01	11	5.4653e+00	41	2.0127e+00	42	4.3335e+01	168	9.6920e-01	8.7247e-07	7.5600e-01	1.2540e+00	2.0277e-01	1.1052e-01	["no_exp_lof"]	2	nonsense_mediated_decay	chr15	276	4
CIB2	ENSG00000136425	ENST00000559054	false	false	7	8.5222e+00	43	8.2138e-01	1.3864e-07	4.9644e-03	2.0471e-01	7.9033e-01	4	4.3107e+00	22	9.2791e-01	7.6310e-08	2.3939e-02	2.2512e-01	7.5094e-01	4.4700e-01	1.7950e+00	NA	NA	1.4967e-01	1.2681e-01	72	7.9128e+01	368	9.0991e-01	1.6645e-06	7.5100e-01	1.1070e+00	8.0136e-01	2.9265e-01	15	1.6858e+01	95	8.8977e-01	31	2.9359e+01	92	1.0559e+00	8.6028e-07	7.9300e-01	1.4250e+00	-3.0277e-01	-1.6503e-01	[]	2	protein_coding	chr15	164	2
CIB2	ENSG00000136425	ENST00000559645	false	false	13	1.2823e+01	65	1.0138e+00	3.1220e-07	2.1454e-05	3.7133e-01	6.2865e-01	13	1.2823e+01	65	1.0138e+00	3.1220e-07	2.2840e-05	3.6029e-01	6.3969e-01	6.5900e-01	1.5960e+00	NA	NA	-4.9410e-02	-4.1864e-02	146	1.5537e+02	804	9.3970e-01	2.8368e-06	8.2100e-01	1.0780e+00	7.5162e-01	2.7449e-01	56	6.5400e+01	357	8.5627e-01	64	6.4319e+01	216	9.9504e-01	1.3081e-06	8.1300e-01	1.2250e+00	3.9766e-02	2.1674e-02	[]	2	protein_coding	chr15	442	4
CIB2	ENSG00000136425	ENST00000560618	false	false	16	1.6323e+01	81	9.8020e-01	3.7753e-07	3.0835e-06	3.7494e-01	6.2506e-01	7	7.0784e+00	36	9.8892e-01	1.2539e-07	2.3157e-03	2.7345e-01	7.2423e-01	5.5800e-01	1.7360e+00	NA	NA	2.9485e-02	2.4982e-02	196	2.3161e+02	1105	8.4624e-01	4.1947e-06	7.5200e-01	9.5300e-01	2.3400e+00	8.5455e-01	51	7.0818e+01	368	7.2016e-01	74	8.8176e+01	313	8.3923e-01	1.8292e-06	6.9500e-01	1.0180e+00	1.5096e+00	8.2282e-01	[]	2	protein_coding	chr15	501	3
CIB2	ENSG00000136425	ENST00000561190	false	false	16	1.7091e+01	78	9.3615e-01	4.7945e-07	4.8945e-06	3.2369e-01	6.7631e-01	16	1.7091e+01	78	9.3615e-01	4.7945e-07	5.1989e-06	3.1335e-01	6.8664e-01	6.3300e-01	1.4210e+00	NA	NA	2.6395e-01	2.2364e-01	169	1.6544e+02	805	1.0215e+00	3.0742e-06	9.0000e-01	1.1610e+00	-2.7648e-01	-1.0097e-01	44	4.7077e+01	245	9.3463e-01	67	6.6095e+01	216	1.0137e+00	1.6214e-06	8.3200e-01	1.2420e+00	-1.1128e-01	-6.0651e-02	[]	2	protein_coding	chr15	380	5
CIB2	ENSG00000136425	ENST00000643268	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	6.0727e+01	271	9.8803e-01	1.4476e-06	8.0200e-01	1.2250e+00	9.3255e-02	3.4056e-02	16	2.2370e+01	97	7.1523e-01	20	2.4679e+01	87	8.1041e-01	6.2195e-07	5.6900e-01	1.1780e+00	9.4182e-01	5.1333e-01	["no_exp_lof"]	2	nonsense_mediated_decay	chr15	189	2
CIITA	4261	NM_000246.4	true	true	72	1.2019e+02	556	5.9905e-01	1.5628e-06	2.3099e-13	9.6171e-06	9.9999e-01	72	1.2019e+02	556	5.9905e-01	1.5628e-06	2.4166e-13	9.1700e-06	9.9999e-01	4.9400e-01	7.2900e-01	NA	NA	4.3956e+00	3.7243e+00	1617	1.5242e+03	7122	1.0609e+00	1.6217e-05	1.0180e+00	1.1050e+00	-2.3773e+00	-8.6816e-01	316	3.9580e+02	2081	7.9838e-01	763	6.6666e+02	2411	1.1445e+00	7.3703e-06	1.0780e+00	1.2150e+00	-3.7313e+00	-2.0337e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	NM_001286402.1	false	false	72	1.2028e+02	556	5.9861e-01	1.5607e-06	2.4141e-13	9.3702e-06	9.9999e-01	72	1.2028e+02	556	5.9861e-01	1.5607e-06	2.5257e-13	8.9346e-06	9.9999e-01	4.9400e-01	7.2800e-01	NA	NA	4.4021e+00	3.7298e+00	1619	1.5255e+03	7129	1.0613e+00	1.6090e-05	1.0180e+00	1.1060e+00	-2.3929e+00	-8.7387e-01	336	3.9361e+02	2003	8.5364e-01	764	6.6706e+02	2412	1.1453e+00	7.3703e-06	1.0780e+00	1.2160e+00	-3.7534e+00	-2.0457e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	NM_001286403.2	false	false	43	7.9409e+01	369	5.4150e-01	1.0428e-06	9.5067e-07	6.3879e-05	9.9994e-01	43	7.9409e+01	369	5.4150e-01	1.0428e-06	9.9460e-07	6.0909e-05	9.9994e-01	4.2300e-01	6.9800e-01	NA	NA	4.0857e+00	3.4618e+00	736	7.2603e+02	3523	1.0137e+00	7.4836e-06	9.5300e-01	1.0770e+00	-3.7002e-01	-1.3513e-01	168	2.1590e+02	1070	7.7813e-01	321	2.9429e+02	1097	1.0907e+00	3.3130e-06	9.9500e-01	1.1960e+00	-1.5567e+00	-8.4848e-01	[]	NA	NA	NA	NA	NA
CIITA	4261	NM_001379330.1	false	false	65	1.1584e+02	534	5.6111e-01	1.5072e-06	1.4170e-10	3.0181e-06	1.0000e+00	65	1.1584e+02	534	5.6111e-01	1.5072e-06	1.4824e-10	2.8778e-06	1.0000e+00	4.5800e-01	6.9000e-01	NA	NA	4.7238e+00	4.0024e+00	1540	1.4587e+03	6818	1.0558e+00	9.1133e-06	1.0120e+00	1.1010e+00	-2.1293e+00	-7.7759e-01	NA	NA	NA	NA	726	6.3680e+02	2299	1.1401e+00	7.0794e-06	1.0720e+00	1.2120e+00	-3.5350e+00	-1.9267e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	NM_001379331.1	false	false	65	1.1575e+02	534	5.6154e-01	1.5093e-06	1.3558e-10	3.0976e-06	1.0000e+00	65	1.1575e+02	534	5.6154e-01	1.5093e-06	1.4184e-10	2.9536e-06	1.0000e+00	4.5900e-01	6.9000e-01	NA	NA	4.7174e+00	3.9970e+00	1538	1.4573e+03	6811	1.0554e+00	9.1133e-06	1.0110e+00	1.1010e+00	-2.1132e+00	-7.7172e-01	NA	NA	NA	NA	725	6.3640e+02	2298	1.1392e+00	7.0794e-06	1.0710e+00	1.2110e+00	-3.5123e+00	-1.9144e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	NM_001379332.1	false	false	72	1.2028e+02	556	5.9861e-01	1.5607e-06	2.4141e-13	9.3702e-06	9.9999e-01	72	1.2028e+02	556	5.9861e-01	1.5607e-06	2.5257e-13	8.9346e-06	9.9999e-01	4.9400e-01	7.2800e-01	NA	NA	4.4021e+00	3.7298e+00	1619	1.5255e+03	7129	1.0613e+00	1.6090e-05	1.0180e+00	1.1060e+00	-2.3929e+00	-8.7387e-01	336	3.9361e+02	2003	8.5364e-01	764	6.6706e+02	2412	1.1453e+00	7.3703e-06	1.0780e+00	1.2160e+00	-3.7534e+00	-2.0457e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	NM_001379333.1	false	false	72	1.2019e+02	556	5.9905e-01	1.5628e-06	2.3099e-13	9.6171e-06	9.9999e-01	72	1.2019e+02	556	5.9905e-01	1.5628e-06	2.4166e-13	9.1700e-06	9.9999e-01	4.9400e-01	7.2900e-01	NA	NA	4.3956e+00	3.7243e+00	1617	1.5242e+03	7122	1.0609e+00	1.6217e-05	1.0180e+00	1.1050e+00	-2.3773e+00	-8.6816e-01	316	3.9580e+02	2081	7.9838e-01	763	6.6666e+02	2411	1.1445e+00	7.3703e-06	1.0780e+00	1.2150e+00	-3.7313e+00	-2.0337e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	NM_001379334.1	false	false	68	1.1657e+02	539	5.8336e-01	1.5720e-06	5.1245e-12	6.9332e-06	9.9999e-01	67	1.1540e+02	533	5.8061e-01	1.5514e-06	1.0201e-11	6.5826e-06	9.9999e-01	4.7600e-01	7.1200e-01	NA	NA	4.5052e+00	3.8172e+00	1584	1.4919e+03	6983	1.0617e+00	9.2596e-06	1.0180e+00	1.1070e+00	-2.3844e+00	-8.7078e-01	NA	NA	NA	NA	752	6.5483e+02	2360	1.1484e+00	7.3593e-06	1.0810e+00	1.2200e+00	-3.7972e+00	-2.0696e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_006720880.3	false	false	69	1.1740e+02	543	5.8772e-01	1.5607e-06	2.2811e-12	7.6789e-06	9.9999e-01	69	1.1740e+02	543	5.8772e-01	1.5607e-06	2.3865e-12	7.3219e-06	9.9999e-01	4.8300e-01	7.1800e-01	NA	NA	4.4671e+00	3.7849e+00	1592	1.5025e+03	7033	1.0596e+00	9.2596e-06	1.0160e+00	1.1040e+00	-2.3092e+00	-8.4332e-01	NA	NA	NA	NA	755	6.5762e+02	2372	1.1481e+00	7.3593e-06	1.0810e+00	1.2190e+00	-3.7973e+00	-2.0697e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_011522484.3	false	false	69	1.1740e+02	543	5.8772e-01	1.5607e-06	2.2811e-12	7.6789e-06	9.9999e-01	69	1.1740e+02	543	5.8772e-01	1.5607e-06	2.3865e-12	7.3219e-06	9.9999e-01	4.8300e-01	7.1800e-01	NA	NA	4.4671e+00	3.7849e+00	1592	1.5025e+03	7033	1.0596e+00	9.2596e-06	1.0160e+00	1.1040e+00	-2.3092e+00	-8.4332e-01	NA	NA	NA	NA	755	6.5762e+02	2372	1.1481e+00	7.3593e-06	1.0810e+00	1.2190e+00	-3.7973e+00	-2.0697e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_011522485.2	false	false	69	1.1740e+02	543	5.8772e-01	1.5607e-06	2.2811e-12	7.6789e-06	9.9999e-01	69	1.1740e+02	543	5.8772e-01	1.5607e-06	2.3865e-12	7.3219e-06	9.9999e-01	4.8300e-01	7.1800e-01	NA	NA	4.4671e+00	3.7849e+00	1592	1.5025e+03	7033	1.0596e+00	9.2596e-06	1.0160e+00	1.1040e+00	-2.3092e+00	-8.4332e-01	NA	NA	NA	NA	755	6.5762e+02	2372	1.1481e+00	7.3593e-06	1.0810e+00	1.2190e+00	-3.7973e+00	-2.0697e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_011522486.2	false	false	68	1.0457e+02	489	6.5027e-01	1.4479e-06	1.2889e-14	2.3567e-04	9.9976e-01	68	1.0363e+02	484	6.5618e-01	1.4365e-06	8.4256e-15	2.9643e-04	9.9970e-01	5.3900e-01	8.0300e-01	NA	NA	3.5000e+00	2.9655e+00	1501	1.3843e+03	6506	1.0843e+00	8.2972e-06	1.0380e+00	1.1320e+00	-3.1375e+00	-1.1458e+00	NA	NA	NA	NA	700	6.1128e+02	2216	1.1451e+00	6.4759e-06	1.0750e+00	1.2190e+00	-3.5883e+00	-1.9558e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_011522487.2	false	false	62	1.1297e+02	521	5.4883e-01	1.5072e-06	1.3388e-09	2.4733e-06	1.0000e+00	62	1.1297e+02	521	5.4883e-01	1.5072e-06	1.4007e-09	2.3583e-06	1.0000e+00	4.4600e-01	6.7800e-01	NA	NA	4.7953e+00	4.0630e+00	1513	1.4356e+03	6722	1.0539e+00	9.1133e-06	1.0090e+00	1.1000e+00	-2.0420e+00	-7.4573e-01	NA	NA	NA	NA	717	6.2736e+02	2259	1.1429e+00	7.0684e-06	1.0740e+00	1.2160e+00	-3.5789e+00	-1.9507e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_011522489.2	false	false	62	1.1288e+02	521	5.4926e-01	1.5093e-06	1.2810e-09	2.5385e-06	1.0000e+00	62	1.1288e+02	521	5.4926e-01	1.5093e-06	1.3402e-09	2.4205e-06	1.0000e+00	4.4700e-01	6.7900e-01	NA	NA	4.7888e+00	4.0575e+00	1511	1.4343e+03	6715	1.0535e+00	9.1133e-06	1.0090e+00	1.0990e+00	-2.0258e+00	-7.3980e-01	NA	NA	NA	NA	716	6.2696e+02	2258	1.1420e+00	7.0684e-06	1.0730e+00	1.2150e+00	-3.5561e+00	-1.9382e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_011522490.2	false	false	69	1.1731e+02	543	5.8816e-01	1.5628e-06	2.1826e-12	7.8812e-06	9.9999e-01	69	1.1731e+02	543	5.8816e-01	1.5628e-06	2.2834e-12	7.5148e-06	9.9999e-01	4.8300e-01	7.1900e-01	NA	NA	4.4607e+00	3.7795e+00	1590	1.5011e+03	7026	1.0592e+00	9.2596e-06	1.0160e+00	1.1040e+00	-2.2935e+00	-8.3756e-01	NA	NA	NA	NA	754	6.5722e+02	2371	1.1473e+00	7.3593e-06	1.0800e+00	1.2180e+00	-3.7751e+00	-2.0576e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_011522491.2	false	false	66	1.0070e+02	472	6.5539e-01	1.4234e-06	2.1755e-14	3.6623e-04	9.9963e-01	66	1.0070e+02	472	6.5539e-01	1.4234e-06	2.2760e-14	3.4921e-04	9.9965e-01	5.3700e-01	8.0400e-01	NA	NA	3.4582e+00	2.9301e+00	1470	1.3469e+03	6325	1.0914e+00	8.2972e-06	1.0450e+00	1.1390e+00	-3.3529e+00	-1.2245e+00	NA	NA	NA	NA	672	5.9070e+02	2148	1.1376e+00	6.4716e-06	1.0670e+00	1.2130e+00	-3.3452e+00	-1.8233e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_011522494.2	false	false	68	1.1657e+02	539	5.8336e-01	1.5720e-06	5.1245e-12	6.9332e-06	9.9999e-01	67	1.1540e+02	533	5.8061e-01	1.5514e-06	1.0201e-11	6.5826e-06	9.9999e-01	4.7600e-01	7.1200e-01	NA	NA	4.5052e+00	3.8172e+00	1584	1.4919e+03	6983	1.0617e+00	9.2596e-06	1.0180e+00	1.1070e+00	-2.3844e+00	-8.7078e-01	NA	NA	NA	NA	752	6.5483e+02	2360	1.1484e+00	7.3593e-06	1.0810e+00	1.2200e+00	-3.7972e+00	-2.0696e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_024450280.1	false	false	71	1.2017e+02	555	5.9085e-01	1.5686e-06	7.7892e-13	6.8353e-06	9.9999e-01	71	1.2017e+02	555	5.9085e-01	1.5686e-06	8.1492e-13	6.5175e-06	9.9999e-01	4.8700e-01	7.2000e-01	NA	NA	4.4852e+00	3.8002e+00	1691	1.5784e+03	7395	1.0713e+00	9.3905e-06	1.0280e+00	1.1150e+00	-2.8334e+00	-1.0348e+00	NA	NA	NA	NA	796	6.9019e+02	2518	1.1533e+00	7.4442e-06	1.0870e+00	1.2230e+00	-4.0276e+00	-2.1952e+00	[]	NA	NA	NA	NA	NA
CIITA	4261	XM_024450281.1	false	false	64	1.1573e+02	533	5.5301e-01	1.5151e-06	4.5718e-10	2.2016e-06	1.0000e+00	64	1.1573e+02	533	5.5301e-01	1.5151e-06	4.7831e-10	2.0992e-06	1.0000e+00	4.5100e-01	6.8100e-01	NA	NA	4.8087e+00	4.0743e+00	1612	1.5116e+03	7084	1.0664e+00	9.2442e-06	1.0230e+00	1.1110e+00	-2.5832e+00	-9.4336e-01	NA	NA	NA	NA	758	6.5992e+02	2405	1.1486e+00	7.1534e-06	1.0810e+00	1.2200e+00	-3.8178e+00	-2.0809e+00	[]	NA	NA	NA	NA	NA
CIITA	ENSG00000179583	ENST00000324288	true	true	72	1.2019e+02	556	5.9905e-01	1.5628e-06	2.3099e-13	9.6171e-06	9.9999e-01	72	1.2019e+02	556	5.9905e-01	1.5628e-06	2.4166e-13	9.1700e-06	9.9999e-01	4.9400e-01	7.2900e-01	5472	2	4.3956e+00	3.7243e+00	1617	1.5242e+03	7122	1.0609e+00	1.6217e-05	1.0180e+00	1.1050e+00	-2.3773e+00	-8.6816e-01	316	3.9580e+02	2081	7.9838e-01	763	6.6666e+02	2411	1.1445e+00	7.3703e-06	1.0780e+00	1.2150e+00	-3.7313e+00	-2.0337e+00	[]	2	protein_coding	chr16	3390	19
CIITA	ENSG00000179583	ENST00000381835	false	false	43	7.9409e+01	369	5.4150e-01	1.0428e-06	9.5067e-07	6.3879e-05	9.9994e-01	43	7.9409e+01	369	5.4150e-01	1.0428e-06	9.9460e-07	6.0909e-05	9.9994e-01	4.2300e-01	6.9800e-01	NA	NA	4.0857e+00	3.4618e+00	736	7.2603e+02	3523	1.0137e+00	7.4836e-06	9.5300e-01	1.0770e+00	-3.7002e-01	-1.3513e-01	168	2.1590e+02	1070	7.7813e-01	321	2.9429e+02	1097	1.0907e+00	3.3130e-06	9.9500e-01	1.1960e+00	-1.5567e+00	-8.4848e-01	[]	2	protein_coding	chr16	1638	17
CIITA	ENSG00000179583	ENST00000571186	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	234	2.0835e+02	1055	1.1231e+00	2.4508e-06	1.0090e+00	1.2520e+00	-1.7773e+00	-6.4907e-01	85	8.0265e+01	418	1.0590e+00	71	7.3458e+01	275	9.6654e-01	6.7046e-07	7.9700e-01	1.1780e+00	2.8674e-01	1.5628e-01	["no_exp_lof"]	2	nonsense_mediated_decay	chr16	516	7
