# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-04-24
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr11	60890546	60906588	11q12.2	11q12.2	608330	PRPF19, PRP19, PSO4, NMP200	Precursor mRNA-processing factor 19, S. cerevisiae, homolog of	PRPF19	27339	ENSG00000110107			Prpf19 (MGI:106247)
chr11	67435509	67437681	11q13.3	11q13.2	601577	PTPRCAP, LPAP	Protein tyrosine phosphatase, receptor type, c polypeptide-associated protein	PTPRCAP	5790	ENSG00000213402			Ptprcap (MGI:97811)
chr11	67991099	68004124	11q13	11q13.2	608204	UNC93B1, IIAE1	UNC93, C. elegans, homolog of, B1	UNC93B1	81622	ENSG00000110057		{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 1}, 610551 (3)	Unc93b1 (MGI:1859307)
chr11	94415569	94512700	11q21	11q21	600814	MRE11A, MRE11, ATLD	Meiotic recombination 11, S. cerevisiae, homolog A of	MRE11	4361	ENSG00000020922		Ataxia-telangiectasia-like disorder 1, 604391 (3), Autosomal recessive	Mre11a (MGI:1100512)
chr11	101451469	101583927	11q21-q22	11q22.1	603652	TRPC6, TRP6, FSGS2	Transient receptor potential channel-6	TRPC6	7225	ENSG00000137672		Glomerulosclerosis, focal segmental, 2, 603965 (3)	Trpc6 (MGI:109523)
chr11	113797874	113875569	11q23	11q23.2	610748	USP28, KIAA1515	Ubiquitin-specific protease 28	USP28	57646	ENSG00000048028			Usp28 (MGI:2442293)
chr11	130159786	130210361	11q24-q25	11q24.3	606797	ST14, MTSP1, ARCI11	Suppression of tumorigenicity 14	ST14	6768	ENSG00000149418		Ichthyosis, congenital, autosomal recessive 11, 602400 (3), Autosomal recessive	St14 (MGI:1338881)
chr12	21131193	21239795	12p12	12p12.1	604843	SLCO1B1, LST1, OATP2, OATPC, OATP1B1, HBLRR	Solute carrier organic anion transporter family, member 1B1	SLCO1B1	10599	ENSG00000134538	HBLRR digenic with SLCO1B3	Hyperbilirubinemia, Rotor type, digenic, 237450 (3), Digenic recessive
chr12	23529498	24562700	12p12.1	12p12.1	604975	SOX5, LAMSHF	SRY-box 5	SOX5	6660	ENSG00000134532	some LAMSHF patients have 12p12 deletions	Lamb-Shaffer syndrome, 616803 (3), Autosomal dominant	Sox5 (MGI:98367)
chr12	50504984	50748666	12q13.12	12q13.12	611379	DIP2B, KIAA1463	Disco-interacting protein 2, Drosophila, homolog of, B	DIP2B	57609	ENSG00000066084		Mental retardation, FRA12A type, 136630 (3), Autosomal dominant	Dip2b (MGI:2145977)
chr12	56731579	56752361	12q13	12q13.3	176635	PRIM1	Primase, polypeptide-1, 49kD	PRIM1	5557	ENSG00000198056			Prim1 (MGI:97757)
chr12	57549991	57586632	12q13	12q13.3	602821	KIF5A, NKHC, SPG10, NEIMY, ALS25	Kinesin family member 5A	KIF5A	3798	ENSG00000155980		{Amyotrophic lateral sclerosis, susceptibility to, 25}, 617921 (3), Autosomal dominant; Myoclonus, intractable, neonatal, 617235 (3), Autosomal dominant; Spastic paraplegia 10, autosomal dominant, 604187 (3), Autosomal dominant	Kif5a (MGI:109564)
chr12	64713441	64759445	12q14	12q14.3	607664	GNS, G6S	N-acetylglucosamine-6-sulfatase	GNS	2799	ENSG00000135677		Mucopolysaccharidosis type IIID, 252940 (3), Autosomal recessive	Gns (MGI:1922862)
chr12	78863992	79452007	12cen-q21	12q21.2	185605	SYT1	Synaptotagmin-1	SYT1	6857	ENSG00000067715			Syt1 (MGI:99667)
chr12	110614026	110649129	12q24.1	12q24.11	609863	TECT1, JBTS13	Tectonic family, member 1	TCTN1	79600	ENSG00000204852		Joubert syndrome 13, 614173 (3), Autosomal recessive	Tctn1 (MGI:3603820)
chr12	117208141	117361801	12q24.2-q24.31	12q24.22	163731	NOS1	Nitric oxide synthase 1, neuronal	NOS1	4842	ENSG00000089250			Nos1 (MGI:97360)
chr12	121308244	121354208	Chr.12	12q24.31	606948	ANAPC5, APC5	Anaphase-promoting complex, subunit 5	ANAPC5	51433	ENSG00000089053			Anapc5 (MGI:1929722)
chr12	121839526	121888610	12q24-qter	12q24.31	609695	HPD	4-hydroxyphenylpyruvate dioxygenase	HPD	3242	ENSG00000158104		Hawkinsinuria, 140350 (3), Autosomal dominant; Tyrosinemia, type III, 276710 (3), Autosomal recessive	Hpd (MGI:96213)
chr13	20566445	20691436	13q12.1	13q12.11	600595	IFT88, D13S1056E, TG737	Intraflagellar transport 88, Chlamydomonas, homolog of	IFT88	8100	ENSG00000032742			Ift88 (MGI:98715)
chr13	21671075	21704500	13q11-q12	13q12.11	600921	FGF9, SYNS3	Fibroblast growth factor-9 (glia-activating factor)	FGF9	2254	ENSG00000102678		Multiple synostoses syndrome 3, 612961 (3), Autosomal dominant	Fgf9 (MGI:104723)
chr13	26132114	26223084	13q12.11	13q12.13	604242	RNF6	RING finger protein-6	RNF6	6049	ENSG00000127870		Esophageal carcinoma, somatic, 133239 (3)	Rnf6 (MGI:1921382)
chr13	28300345	28495127	13q12	13q12.3	165070	FLT1	fms-related tyrosine kinase-1 (vascular endothelial growth factor/vascular permeability factor receptor)	FLT1	2321	ENSG00000102755	150kb from FLT3		Flt1 (MGI:95558)
chr13	31134973	31162387	13q12.3	13q12.3	610703	HSPH1, HSP105, KIAA0201	Heat-shock 105/110kD protein 1	HSPH1	10808	ENSG00000120694			Hsph1 (MGI:105053)
chr13	33016062	33066144	13q12	13q13.1	604824	KL, KLOTHO	Klotho	KL	9365	ENSG00000133116		{Coronary artery disease, susceptibility to} (3); Tumoral calcinosis, hyperphosphatemic, 211900 (3), Autosomal recessive	Kl (MGI:1101771)
chr13	46053065	46105075	13q14.11	13q14.13	603101	CPB2, CPU, TAFI	Carboxypeptidase B2, plasma (carboxypeptidase U)	CPB2	1361	ENSG00000080618			Cpb2 (MGI:1891837)
chr13	85792786	85799347	13q31	13q31.1	609681	SLITRK6, DFNMYP	SLIT- and NTRK-like family, member 6	SLITRK6	84189	ENSG00000184564		Deafness and myopia, 221200 (3), Autosomal recessive	Slitrk6 (MGI:2443198)
chr13	99981755	99986772	13q32	13q32.3	603073	ZIC2, HPE5	ZIC family, member 2	ZIC2	7546	ENSG00000043355		Holoprosencephaly 5, 609637 (3), Autosomal dominant	Zic2 (MGI:106679)
chr13	108268239	108308483	13q32-q34	13q33.3	603969	TNFSF13B, BLYS, BAFF	Tumor necrosis factor ligand superfamily, member 13B	TNFSF13B	10673	ENSG00000102524			Tnfsf13b (MGI:1344376)
chr13	114314334	114327327	13q34	13q34	616327	CHAMP1, ZNF828, C13orf8, KIAA1802, MRD40	Chromosome alignment-maintaining phosphoprotein 1	CHAMP1	283489	ENSG00000198824		Mental retardation, autosomal dominant 40, 616579 (3), Autosomal dominant	Champ1 (MGI:1196398)
chr14	34982897	35029566	14q13.2	14q13.2	604857	SRP54	Signal recognition particle, 54kD	SRP54	6729	ENSG00000100883			Srp54a,Srp54b (MGI:3714357,MGI:1346087)
chr14	45135938	45200889	14q21.3	14q21.2	609644	FANCM, KIAA1596	FANCM gene	FANCM	57697	ENSG00000187790			Fancm (MGI:2442306)
chr14	49643551	49688416	14q13-q21	14q21.3	602670	POLE2, DPE2	Polymerase, DNA, epsilon-2	POLE2	5427	ENSG00000100479			Pole2 (MGI:1197514)
chr14	50719762	50831139	14q22.1	14q22.1	608684	NIN, KIAA1565, SCKL7	Ninein	NIN	51199	ENSG00000100503	mutation identified in 1 SCKL7 family	?Seckel syndrome 7, 614851 (3), Autosomal recessive	Nin (MGI:105108)
chr14	61187304	61550979	14q22-q23	14q23.1	605437	PRKCH, PKCL, PRKCL	Protein kinase C, eta	PRKCH	5583	ENSG00000027075		{Cerebral infarction, susceptibility to}, 601367 (3), Multifactorial	Prkch (MGI:97600)
chr14	75985752	76084072	14q24.3	14q24.3	614068	IFT43, C14orf179, CED3, SRTD18, RP81	Intraflagellar transport 43, Chlamydomonas, homolog of	IFT43	112752	ENSG00000119650	mutation identified in 1 CED3 family and 1 RP81 family	?Cranioectodermal dysplasia 3, 614099 (3), Autosomal recessive; ?Retinitis pigmentosa 81, 617871 (3), Autosomal recessive; Short-rib thoracic dysplasia 18 with polydactyly, 617866 (3), Autosomal recessive	Ift43 (MGI:1923661)
chr14	91869410	91947701	14q32.1	14q32.12	604580	FBLN5, ARMD3, ADCL2, ARCL1A, HNARMD	Fibulin 5	FBLN5	10516	ENSG00000140092		Cutis laxa, autosomal dominant 2, 614434 (3); Cutis laxa, autosomal recessive, type IA, 219100 (3), Autosomal recessive; Macular degeneration, age-related, 3, 608895 (3), Autosomal dominant; Neuropathy, hereditary, with or without age-related macular degeneration, 608895 (3), Autosomal dominant	Fbln5 (MGI:1346091)
chr14	91965990	92040133	14q31-q32	14q32.12	604505	TRIP11, TRIP230, CEV14, ACG1A	Thyroid hormone receptor interactor 11	TRIP11	9321	ENSG00000100815		Achondrogenesis, type IA, 200600 (3), Autosomal recessive	Trip11 (MGI:1924393)
chr14	96797346	96881613	14q32	14q32.2	602168	VRK1, PCH1A	Vaccinia-related kinase-1	VRK1	7443	ENSG00000100749		Pontocerebellar hypoplasia type 1A, 607596 (3), Autosomal recessive	Vrk1 (MGI:1261847)
chr14	104800596	104804711	14q32.33	14q32.33	613915	ZBTB42, ZNF925, LCCS6	Zinc finger- and BTB domain-containing protein 42	ZBTB42	100128927	ENSG00000179627	mutation identified in 1 LCCS6 family	?Lethal congenital contracture syndrome 6, 616248 (3), Autosomal recessive	Zbtb42 (MGI:3644133)
chr15	23565306	23568019	15q11-q13	15q11.2	603856	MKRN3, ZFP127, ZNF127, CPPB2	Makorin 3	MKRN3	7681	ENSG00000179455	expressed only from paternal allele	Precocious puberty, central, 2, 615346 (3), Autosomal dominant	Mkrn3 (MGI:2181178)
chr15	29699366	29968923	15q13	15q13.1	601009	TJP1	Tight junction protein 1 (zona occludens 1)	TJP1	7082	ENSG00000104067			Tjp1 (MGI:98759)
chr15	44562695	44663677	15q21.1	15q21.1	610844	SPG11, KIAA1840, FLJ21439, ALS5, CMT2X	Spastascin	SPG11	80208	ENSG00000104133		Amyotrophic lateral sclerosis 5, juvenile, 602099 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2X, 616668 (3), Autosomal recessive; Spastic paraplegia 11, autosomal recessive, 604360 (3), Autosomal recessive	Spg11 (MGI:2444989)
chr15	58595203	58749977	15q21.3	15q21.3	602192	ADAM10, MADM, RAK, AD18	A disintegrin and metalloprotease domain 10	ADAM10	102	ENSG00000137845		{Alzheimer disease 18, susceptibility to}, 615590 (3); Reticulate acropigmentation of Kitamura, 615537 (3), Autosomal dominant	Adam10 (MGI:109548)
chr15	60488283	61229302	15q21-q22	15q22.2	600825	RORA	RAR-related orphan receptor A	RORA	6095	ENSG00000069667			Rora (MGI:104661)
chr15	66334973	66387272	15q22.3	15q22.31	610716	TIPIN	Timeless-interacting protein	TIPIN	54962	ENSG00000075131			Tipin (MGI:1921571)
chr15	66702109	66781999	15q21-q22	15q22.31	602931	SMAD6, MADH6, AOVD2	Mothers against decapentaplegic, Drosophila, homolog of, 6	SMAD6	4091	ENSG00000137834		Aortic valve disease 2, 614823 (3), Autosomal dominant; {Craniosynostosis 7, susceptibility to}, 617439 (3), Autosomal dominant	Smad6 (MGI:1336883)
chr15	67200674	67255197	15q22.33-q23	15q23	614888	AAGAB, p34, PPKP1A, PPKP1, KPPP1	Alpha- and gamma-adaptin-binding protein	AAGAB	79719	ENSG00000103591		Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant	Aagab (MGI:1914189)
chr15	73994672	74047818	15q22	15q24.1	102578	PML, MYL	Promyelocytic leukemia, inducer of	PML	5371	ENSG00000140464	fused with RARA in APL	Leukemia, acute promyelocytic, PML/RARA type (3)	Pml (MGI:104662)
chr15	78104605	78131975	15q24	15q25.1	605564	CIB2, KIP2	Calcium- and integrin-binding protein 2	CIB2	10518	ENSG00000136425		Deafness, autosomal recessive 48, 609439 (3), Autosomal recessive; Usher syndrome, type IJ, 614869 (3), Autosomal recessive	Cib2 (MGI:1929293)
chr15	100566913	100603031	15q26	15q26.3	610350	LINS1, WINS1, FLJ10583, MRT27	Lines, Drosophila, homolog of, 1	LINS1	55180	ENSG00000140471		Mental retardation, autosomal recessive 27, 614340 (3), Autosomal recessive	Lins1 (MGI:1919885)
chr16	3020311	3022382	16p13.3	16p13.3	605914	TNFRSF12A, FN14, TWEAKR	Tumor necrosis factor receptor superfamily, member 12A	TNFRSF12A	51330	ENSG00000006327			Tnfrsf12a (MGI:1351484)
chr16	10866207	10941561	16p13	16p13.13	600005	CIITA, MHC2TA, C2TA	Class II major histocompatibility complex transactivator	CIITA	4261	ENSG00000179583		Bare lymphocyte syndrome, type II, complementation group A, 209920 (3), Autosomal recessive; {Rheumatoid arthritis, susceptibility to}, 180300 (3)	Ciita (MGI:108445)
chr16	15643266	15726352	16p13.1	16p13.11	609449	NDE1, NUDE, LIS4, MHAC	nudE neurodevelopment protein 1	NDE1	54820	ENSG00000072864	mutation identified in 1 MHAC family	Lissencephaly 4 (with microcephaly), 614019 (3), Autosomal recessive; ?Microhydranencephaly, 605013 (3), Autosomal recessive	Nde1 (MGI:1914453)
chr16	30985188	30989151	16p12-p11.2	16p11.2	607764	HSD3B7, CBAS1	3-beta-hydroxy-delta-5-C27-steroid oxidoreductase	HSD3B7	80270	ENSG00000099377		Bile acid synthesis defect, congenital, 1, 607765 (3), Autosomal recessive	Hsd3b7 (MGI:2141879)
chr16	57735601	57757249	16q21	16q21	602703	KATNB1, LIS6	Katanin, p80 subunit, B1	KATNB1	10300	ENSG00000140854		Lissencephaly 6, with microcephaly, 616212 (3), Autosomal recessive	Katnb1 (MGI:1921437)
chr16	58157902	58197919	16p13.3-p13.2	16q21	115442	CSNK2A2	Casein kinase-2, alpha-prime polypeptide	CSNK2A2	1459	ENSG00000070770			Csnk2a2 (MGI:88547)
chr16	81238447	81291141	16q21-q23	16q23.2	605748	BCO1, BCMO1, BCDO	Beta-carotene oxygenase 1	BCO1	53630	ENSG00000135697	mutation identified in 1 HCVAD patient	?Hypercarotenemia and vitamin A deficiency, autosomal dominant, 115300 (3), Autosomal dominant	Bco1 (MGI:1926923)
chr16	83899124	83916181	16q24	16q23.3	606761	MLYCD, MCD	Malonyl-CoA decarboxylase	MLYCD	23417	ENSG00000103150		Malonyl-CoA decarboxylase deficiency, 248360 (3), Autosomal recessive	Mlycd (MGI:1928485)
chr16	85899167	85922605	16q24.1	16q24.1	601565	IRF8, ICSBP1, IMD32A, IMD32B	Interferon regulatory factor 8	IRF8	3394	ENSG00000140968		Immunodeficiency 32A, mycobacteriosis, autosomal dominant, 614893 (3), Autosomal dominant; Immunodeficiency 32B, monocyte and dendritic cell deficiency, autosomal recessive, 614894 (3), Autosomal recessive	Irf8 (MGI:96395)
chr16	89508378	89557767	16q24.3	16q24.3	602783	PGN, SPG7, CMAR, CAR	Paraplegin	SPG7	6687	ENSG00000197912		Spastic paraplegia 7, autosomal recessive, 607259 (3), Autosomal recessive, Autosomal dominant	Spg7 (MGI:2385906)
chr16	89644430	89657784	16q24.3	16q24.3	164010	CHMP1A, PCOLN3, PRSM1, PCH8	CHMP family, member 1A	CHMP1A	5119	ENSG00000131165		Pontocerebellar hypoplasia, type 8, 614961 (3), Autosomal recessive	Chmp1a (MGI:1920159)
chr17	7561991	7571968	17p13.1	17p13.1	612844	SENP3	Sentrin-specific protease family, member 3	SENP3	26168	ENSG00000161956			Senp3 (MGI:2158736)
chr17	7583646	7588211	17p13.1-p12	17p13.1	604041	MPDU1, SL15, CDGIF	Mannose-P-dolichol utilization defect 1	MPDU1	9526	ENSG00000129255		Congenital disorder of glycosylation, type If, 609180 (3), Autosomal recessive	Mpdu1 (MGI:1346040)
chr17	7668401	7687549	17p13.1	17p13.1	191170	TP53, P53, LFS1 , BCC7, BMFS5	Tumor protein p53	TP53	7157	ENSG00000141510		{Adrenocortical carcinoma, pediatric}, 202300 (3), Autosomal dominant; {Glioma susceptibility 1}, 137800 (3), Autosomal dominant, Somatic mutation; {Basal cell carcinoma 7}, 614740 (3), Autosomal dominant; Bone marrow failure syndrome 5, 618165 (3), Autosomal dominant; {Colorectal cancer}, 114500 (3), Autosomal dominant, Somatic mutation; Nasopharyngeal carcinoma, somatic, 607107 (3); Breast cancer, somatic, 114480 (3); {Osteosarcoma}, 259500 (3), Somatic mutation; {Choroid plexus papilloma}, 260500 (3), Autosomal dominant; Li-Fraumeni syndrome, 151623 (3), Autosomal dominant; Hepatocellular carcinoma, somatic, 114550 (3); Pancreatic cancer, somatic, 260350 (3)	Trp53 (MGI:98834)
chr17	12991611	13018063	17p11	17p12	605367	ELAC2, HPC2, COXPD17	elaC, E. coli, homolog 2	ELAC2	60528	ENSG00000006744	at ~365cR	Combined oxidative phosphorylation deficiency 17, 615440 (3), Autosomal recessive; {Prostate cancer, hereditary, 2, susceptibility to}, 614731 (3)	Elac2 (MGI:1890496)
chr17	50560932	50629624	17q22	17q21.33	604065	CACNA1G, SCA42	Calcium channel, voltage-dependent, T type, alpha-1G subunit	CACNA1G	8913	ENSG00000006283		Spinocerebellar ataxia 42, 616795 (3), Autosomal dominant	Cacna1g (MGI:1201678)
chr17	74916082	74923262	17q24-q25	17q25.1	607696	SANS, USH1G	Scaffold protein containing ankyrin repeats and SAM domain	USH1G	124590	ENSG00000182040	?allelic to DFNA20	Usher syndrome, type 1G, 606943 (3), Autosomal recessive	Ush1g (MGI:2450757)
chr17	75626844	75667201	17q25	17q25.1	603781	RECQL5, RECQ5	DNA helicase, RecQ-like 5	RECQL5	9400	ENSG00000108469			Recql5 (MGI:2156841)
chr17	80135213	80147182	17q25.3	17q25.3	608546	DDX48, EIF4A3, MUK34, NMP265, KIAA0111, RCPS	DEAD/H Box 48	EIF4A3	9775	ENSG00000141543		Robin sequence with cleft mandible and limb anomalies, 268305 (3), Autosomal recessive	Eif4a3 (MGI:1923731)
chr17	81650458	81663417	17q25	17q25.3	180073	PDE6G, PDEG, RP57	Phosphodiesterase-6G, cGMP-specific, rod, gamma	PDE6G	5148	ENSG00000185527		Retinitis pigmentosa 57, 613582 (3), Autosomal recessive	Pde6g (MGI:97526)
chr17	81887834	81891621	17q25.3	17q25.3	604171	ALYREF, THOC4, ALY, BEF	ALY/REF export factor	ALYREF	10189	ENSG00000183684
chr17	82031655	82034203	17q25.3	17q25.3	602050	RAC3	Ras-related C3 botulinum toxin substrate-3 (rho family, small GTP-binding protein Rac3)	RAC3	5881	ENSG00000169750			Rac3 (MGI:2180784)
chr18	158482	213738	18p	18p11.32	607274	USP14, TGT	Ubiquitin-specific protease 14	USP14	9097	ENSG00000101557			Usp14 (MGI:1928898)
chr18	9102629	9134344	18p11.31-p11.2	18p11.22	600532	NDUFV2	NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kD	NDUFV2	4729	ENSG00000178127	pseudogene on 19q13.3-qter	Mitochondrial complex I deficiency, 252010 (3), Autosomal recessive, X-linked dominant, Mitochondrial	Ndufv2 (MGI:1920150)
chr18	22914120	23026485	18q11.2	18q11.2	604124	RBBP8, RIM, SCKL2, JWDS	Retinoblastoma-binding protein 8	RBBP8	5932	ENSG00000101773		Jawad syndrome, 251255 (3), Autosomal recessive; Pancreatic carcinoma, somatic (3); Seckel syndrome 2, 606744 (3), Autosomal recessive	Rbbp8 (MGI:2442995)
chr18	34493289	34891843	18q12.1-q12.2	18q12.1	601239	DTNA, D18S892E, DRP3, LVNC1	Dystobrevin, alpha (dystrophin-related protein 3)	DTNA	1837	ENSG00000134769		Left ventricular noncompaction 1, with or without congenital heart defects, 604169 (3), Autosomal dominant	Dtna (MGI:106039)
chr18	49822785	50195080	18q21	18q21.1	606540	MYO5B, KIAA1119	Myosin VB	MYO5B	4645	ENSG00000167306		Microvillus inclusion disease, 251850 (3), Autosomal recessive	Myo5b (MGI:106598)
chr18	54269478	54321265	18q21.1	18q21.2	605252	POLI, RAD30B	Polymerase, DNA, iota	POLI	11201	ENSG00000101751			Poli (MGI:1347081)
chr18	58671385	58753805	18q21	18q21.32	604860	MALT1, MLT, IMD12	Mucosa-associated lymphoid tissue lymphoma translocation gene 1	MALT1	10892	ENSG00000172175	fused with API2 in MALT lymphoma	Immunodeficiency 12, 615468 (3), Autosomal recessive	Malt1 (MGI:2445027)
chr18	59267034	59273392	18q21.3	18q21.32	601881	RAX, RX, MCOP3	Retina and anterior neural fold homeobox gene	RAX	30062	ENSG00000134438		Microphthalmia, isolated 3, 611038 (3), Autosomal recessive	Rax (MGI:109632)
chr18	69860227	69962085	18q22.3	18q22.2	605397	DNAM1, CD226	DNAX accessory molecule 1	CD226	10666	ENSG00000150637			Cd226 (MGI:3039602)
chr18	79679800	79754509	18q23	18q23	604927	CTDP1, FCP1, CCFDN	C-terminal domain of RNA polymerase II subunit A, phosphatase of, subunit 1	CTDP1	9150	ENSG00000060069		Congenital cataracts, facial dysmorphism, and neuropathy, 604168 (3), Autosomal recessive	Ctdp1 (MGI:1926953)
chr19	1905213	1913446	19p13.3	19p13.3	615302	ADAT3, TAD3, MRT36	Adenosine deaminase, tRNA-specific, 3	ADAT3	113179	ENSG00000213638		Mental retardation, autosomal recessive 36, 615286 (3), Autosomal recessive	Adat3 (MGI:1924344)
chr19	5691833	5720451	19p13.2	19p13.3	605490	LONP1, PRSS15, LON, CODASS	lon peptidase 1, mitochondrial	LONP1	9361	ENSG00000196365		CODAS syndrome, 600373 (3), Autosomal recessive	Lonp1 (MGI:1921392)
chr19	11089361	11133829	19p13.2	19p13.2	606945	LDLR, FHC, FH, LDLCQ2	Low density lipoprotein receptor	LDLR	3949	ENSG00000130164	~20cM distal to C3	Hypercholesterolemia, familial, 143890 (3), Autosomal dominant; LDL cholesterol level QTL2, 143890 (3), Autosomal dominant	Ldlr (MGI:96765)
chr19	12938599	12944489	19p13.2	19p13.13	109091	CALR, SSA	Sicca syndrome antigen A (autoantigen Ro; calreticulin)	CALR	811	ENSG00000179218	distal to C3, near LDLR	Myelofibrosis, somatic, 254450 (3); Thrombocythemia, somatic, 187950 (3)	Calr (MGI:88252)
chr19	18279693	18281655	19p13.1-p12	19p13.11	165162	JUND	jun D proto-oncogene	JUND	3727	ENSG00000130522			Jund (MGI:96648)
chr19	29811993	29824316	19q13.1	19q12	123837	CCNE1	Cyclin E1	CCNE1	898	ENSG00000105173			Ccne1 (MGI:88316)
chr19	38200000	42900000	19q13.2		227050	TEC	Transient erythroblastopenia of childhood		100124696			Transient erythroblastopenia of childhood, 227050 (2), Autosomal recessive
chr19	38770967	38773516	19q13.2	19q13.2	600615	LGALS7	Lectin, galactoside-binding, soluble, 7 (galectin 7)	LGALS7	3963	ENSG00000205076			Lgals7 (MGI:1316742)
chr19	40843537	40850446	19q13.2	19q13.2	122720	CYP2A6, CYP2A3, CYP2A, P450C2A	Cytochrome P450, subfamily IIA, phenobarbital-inducible, polypeptide 6	CYP2A6	1548	ENSG00000255974		Coumarin resistance, 122700 (3), Autosomal dominant; {Lung cancer, resistance to}, 211980 (3), Autosomal recessive; {Nicotine addiction, protection from}, 188890 (3)	Cyp2a4,Cyp2a5 (MGI:88597,MGI:88596)
chr19	42325608	42378768	19q12	19q13.2	604267	MEGF8, EGFL4, CRPT2	Multiple epidermal growth factor-like domains 8	MEGF8	1954	ENSG00000105429		Carpenter syndrome 2, 614976 (3), Autosomal recessive	Megf8 (MGI:2446294)
chr19	46918566	47005076	19q13.2-q13.4	19q13.32	605277	GRLF1, P190A	Glucocorticoid receptor DNA-binding factor 1	ARHGAP35	2909	ENSG00000160007			Arhgap35 (MGI:1929494)
chr19	54465024	54473289	19q13.42	19q13.42	609171	CDC42EP5, CEP5, BORG3	CDC42 effector protein 5	CDC42EP5	148170	ENSG00000167617			Cdc42ep5 (MGI:1929745)
chr20	958451	1002263	20p13	20p13	610573	RSPO4, CRISTIN4	R-spondin family, member 4	RSPO4	343637	ENSG00000101282		Anonychia congenita, 206800 (3), Autosomal recessive	Rspo4 (MGI:1924467)
chr20	34363234	34511772	20q11.22-q11.23	20q11.22	606409	ITCH, AIP4, NAPP1, ADMFD	Itchy, mouse, homolog of	ITCH	83737	ENSG00000078747		Autoimmune disease, multisystem, with facial dysmorphism, 613385 (3), Autosomal recessive	Itch (MGI:1202301)
chr20	36890881	36951842	20q11.2	20q11.23	606754	SAMHD1, AGS5, DCIP, CHBL2	SAM domain- and HD domain-containing protein 1	SAMHD1	25939	ENSG00000101347	mutation identified in 1 CHBL2 family	Aicardi-Goutieres syndrome 5, 612952 (3), Autosomal recessive; ?Chilblain lupus 2, 614415 (3), Autosomal dominant	Samhd1 (MGI:1927468)
chr20	49503873	49568169	20q13.11-q13.13	20q13.13	601699	PTGIS, CYP8A1, PGIS, CYP8	Prostaglandin I2 synthase	PTGIS	5740	ENSG00000124212		Hypertension, essential, 145500 (3), Multifactorial	Ptgis (MGI:1097156)
chr20	50081123	50115958	20q13.2	20q13.13	602995	UBE2V1, UEV1	Ubiquitin-conjugating enzyme E2 variant 1	UBE2V1	7335	ENSG00000244687			Ube2v1 (MGI:1913839)
chr20	50888917	50931212	20q13.13	20q13.13	611386	ADNP, ADNP1, KIAA0784, HVDAS, MRD28	Activity-dependent neuroprotector homeobox	ADNP	23394	ENSG00000101126		Helsmoortel-van der Aa syndrome, 615873 (3), Autosomal dominant	Adnp (MGI:1338758)
chr20	51782716	51802522	20q13.13-q13.2	20q13.2	607343	SALL4, HSAL4	sal-like 4	SALL4	57167	ENSG00000101115		Duane-radial ray syndrome, 607323 (3), Autosomal dominant; IVIC syndrome, 147750 (3), Autosomal dominant	Sall4 (MGI:2139360)
chr20	57168752	57266650	20q13.1-q13.3	20q13.31	112267	BMP7	Bone morphogenetic protein-7 (osteogenic protein-1)	BMP7	655	ENSG00000101144			Bmp7 (MGI:103302)
chr20	58839680	58911195	20q13.2	20q13.32	139320	GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C, PITA3	GNAS complex locus (guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1)	GNAS	2778	ENSG00000087460		ACTH-independent macronodular adrenal hyperplasia, 219080 (3), Isolated cases; McCune-Albright syndrome, somatic, mosaic, 174800 (3); Osseous heteroplasia, progressive, 166350 (3), Autosomal dominant; Pituitary adenoma 3, multiple types, somatic, 617686 (3); Pseudohypoparathyroidism Ia, 103580 (3), Autosomal dominant; Pseudohypoparathyroidism Ib, 603233 (3), Autosomal dominant; Pseudohypoparathyroidism Ic, 612462 (3), Autosomal dominant; Pseudopseudohypoparathyroidism, 612463 (3), Autosomal dominant	Gnas (MGI:95777)
chr20	59300414	59325991	20q13.2-q13.3	20q13.32	131242	EDN3, WS4B, HSCR4	Endothelin-3	EDN3	1908	ENSG00000124205		Central hypoventilation syndrome, congenital, 209880 (3), Autosomal dominant; {Hirschsprung disease, susceptibility to, 4}, 613712 (3), Autosomal dominant; Waardenburg syndrome, type 4B, 613265 (3), Autosomal recessive, Autosomal dominant	Edn3 (MGI:95285)
chr20	63488011	63499314	20q13	20q13.33	602959	EEF1A2, EIEE33, MRD38	Eukaryotic translation elongation factor-1, alpha-2	EEF1A2	1917	ENSG00000101210		Epileptic encephalopathy, early infantile, 33, 616409 (3), Autosomal dominant; Mental retardation, autosomal dominant 38, 616393 (3), Autosomal dominant	Eef1a2 (MGI:1096317)
